title,author,avg_rating,total_rating,top_genres,rating_distribution
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.32,7562162,[],[]
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.5,3003395,[],[]
Pride and Prejudice,Jane Austen,4.28,3713644,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', 'Novels', 'Audiobook']","[2029069, 1006659, 450532, 135333, 92037]"
To Kill a Mockingbird,Harper Lee,4.27,5407035,[],[]
The Book Thief,Markus Zusak,4.39,2237813,[],[]
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.63,5878864,[],[]
Animal Farm,George Orwell,3.97,3366215,[],[]
"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,4.27,596425,[],[]
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.61,124076,[],[]
The Fault in Our Stars,John Green,4.16,4477859,"['Young Adult', 'Romance', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Teen', 'Coming Of Age', 'Novels']","[2143523, 1319375, 702936, 205415, 106631]"
Gone with the Wind,Margaret Mitchell,4.3,1158900,"['Classics', 'Historical Fiction', 'Fiction', 'Romance', 'Historical', 'War', 'Literature', 'Civil War']","[653755, 294854, 142170, 41658, 26465]"
The Giving Tree,Shel Silverstein,4.37,1033291,[],[]
Wuthering Heights,Emily Brontë,3.88,1599847,[],[]
The Picture of Dorian Gray,Oscar Wilde,4.11,1253557,[],[]
Jane Eyre,Charlotte Brontë,4.14,1889924,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Gothic', 'Literature', 'Historical', 'School']","[876438, 584048, 293889, 87246, 48318]"
"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.89,2178981,"['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Historical Fiction', 'Suspense', 'Adventure', 'Novels']","[758083, 748316, 436755, 151784, 84040]"
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47,8766278,[],[]
The Perks of Being a Wallflower,Stephen Chbosky,4.22,1559764,[],[]
Memoirs of a Geisha,Arthur Golden,4.14,1881516,"['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Classics', 'Japan', 'Adult', 'Novels']","[800245, 667375, 314253, 70594, 29054]"
Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.06,518999,[],[]
